DELITO,AÑO,BARRIO_MONTEVIDEO,DIA_SEMANA,HORA,total_delitos,ingreso,habitantes
RAPIÑA,2022,AGUADA,DOMINGO,0,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,1,4,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,12,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,13,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,15,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,16,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,18,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,2,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,20,3,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,21,5,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,22,4,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,23,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,3,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,4,4,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,5,5,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,6,4,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,7,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,8,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,DOMINGO,9,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,1,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,10,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,14,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,15,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,16,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,17,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,18,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,19,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,20,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,21,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,22,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,23,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,5,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,7,4,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,JUEVES,8,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,10,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,12,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,13,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,15,3,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,16,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,17,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,18,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,2,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,21,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,22,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,3,3,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,4,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,6,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,7,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,LUNES,9,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,0,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,10,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,12,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,13,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,15,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,17,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,18,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,19,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,20,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,21,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,22,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,5,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,7,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MARTES,9,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,0,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,1,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,12,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,13,3,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,19,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,2,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,21,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,22,3,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,23,2,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,3,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,5,1,107971.3209734613,19484.0
RAPIÑA,2022,AGUADA,MIERCOLES,6,2,107971.3209734613,19484.0
